id,vehiculo_id,cliente_id,concesionario_id,fecha_venta,precio_final,metodo_pago
256,38,16,5,2023-10-24,67136,Financiamiento
257,17,220,4,2023-02-21,43959,Tarjeta de Crédito
258,29,464,9,2023-09-13,69724,Financiamiento
259,6,142,4,2023-02-13,46491,Efectivo
260,19,364,6,2023-01-16,57802,Efectivo
261,34,114,8,2023-06-05,16663,Financiamiento
262,50,312,8,2023-05-14,42711,Transferencia
263,2,315,6,2023-07-14,57753,Efectivo
264,20,127,2,2023-12-24,69835,Transferencia
265,41,78,6,2023-08-29,79135,Financiamiento
266,46,215,6,2023-05-01,44179,Efectivo
267,3,72,8,2023-03-29,27758,Financiamiento
268,9,117,8,2023-08-20,25424,Transferencia
269,45,62,4,2023-04-11,15345,Financiamiento
270,3,247,10,2023-08-07,44674,Transferencia
271,21,260,2,2023-03-10,50116,Efectivo
272,32,71,3,2023-11-21,53189,Tarjeta de Crédito
273,10,167,2,2023-05-31,39982,Efectivo
274,23,459,2,2023-06-15,79724,Transferencia
275,10,239,9,2023-05-29,37659,Transferencia
276,15,366,5,2023-09-17,55475,Transferencia
277,23,156,4,2023-10-18,31291,Transferencia
278,1,229,5,2023-12-31,10320,Transferencia
279,49,38,4,2023-08-04,54809,Financiamiento
280,6,296,3,2023-10-04,66848,Transferencia
281,20,248,6,2023-10-13,26928,Transferencia
282,45,72,7,2023-08-20,35873,Transferencia
283,44,11,10,2023-06-25,15625,Transferencia
284,1,116,8,2024-01-21,79019,Tarjeta de Crédito
285,24,215,10,2023-03-03,56595,Tarjeta de Crédito
286,39,193,6,2023-03-21,77458,Efectivo
287,31,70,8,2023-02-27,35789,Efectivo
288,3,61,2,2023-05-16,15917,Financiamiento
289,42,479,2,2024-01-28,48091,Financiamiento
290,6,341,8,2024-01-22,67180,Tarjeta de Crédito
291,20,273,1,2023-05-14,62811,Efectivo
292,25,473,9,2023-01-24,67158,Tarjeta de Crédito
293,47,429,4,2023-11-16,63010,Efectivo
294,11,147,6,2023-12-27,50653,Efectivo
295,29,251,6,2023-09-16,53074,Transferencia
296,3,213,4,2023-01-07,33212,Tarjeta de Crédito
297,5,347,1,2024-01-16,48444,Efectivo
298,37,199,8,2024-01-30,44427,Transferencia
299,27,319,1,2023-11-18,38476,Financiamiento
300,25,467,3,2023-02-01,44476,Financiamiento
301,15,405,2,2023-04-22,66865,Tarjeta de Crédito
302,19,69,3,2023-08-26,43456,Transferencia
303,37,274,7,2023-04-23,43134,Tarjeta de Crédito
304,36,7,3,2023-01-17,28978,Financiamiento
305,45,240,7,2023-03-16,24338,Financiamiento
306,32,133,4,2023-06-16,52277,Efectivo
307,13,153,6,2023-03-19,40068,Tarjeta de Crédito
308,11,84,9,2023-03-18,21447,Efectivo
309,31,333,4,2023-01-05,53609,Efectivo
310,34,401,10,2023-04-04,26853,Tarjeta de Crédito
311,19,442,1,2023-06-28,18832,Efectivo
312,11,8,9,2023-10-11,77727,Tarjeta de Crédito
313,45,315,10,2023-04-19,78720,Financiamiento
314,1,169,5,2023-03-06,25118,Transferencia
315,38,143,8,2023-04-29,28393,Efectivo
316,49,257,1,2023-12-25,70209,Transferencia
317,3,43,6,2023-07-21,10576,Tarjeta de Crédito
318,37,464,10,2023-11-01,26467,Financiamiento
319,21,291,1,2023-09-02,71678,Tarjeta de Crédito
320,12,418,5,2023-07-11,53132,Transferencia
321,5,131,5,2023-07-19,26605,Tarjeta de Crédito
322,44,376,1,2023-06-07,44990,Financiamiento
323,34,479,6,2023-08-18,53456,Tarjeta de Crédito
324,23,53,2,2023-06-09,53276,Efectivo
325,45,287,8,2023-09-06,22635,Financiamiento
326,38,34,7,2023-11-17,10580,Tarjeta de Crédito
327,1,113,1,2023-12-16,16785,Transferencia
328,8,491,4,2023-08-11,33058,Transferencia
329,10,176,4,2023-12-18,35476,Tarjeta de Crédito
330,27,197,2,2023-01-02,63219,Transferencia
331,50,219,9,2023-10-07,44073,Efectivo
332,15,388,5,2023-06-01,51872,Tarjeta de Crédito
333,10,7,10,2024-02-01,52453,Financiamiento
334,29,32,1,2023-03-02,55418,Transferencia
335,34,480,4,2023-08-01,75695,Efectivo
336,46,18,8,2023-04-26,67497,Transferencia
337,25,253,6,2023-12-08,49211,Financiamiento
338,43,483,3,2023-10-15,79619,Tarjeta de Crédito
339,4,372,6,2023-03-24,69293,Tarjeta de Crédito
340,6,311,3,2023-01-02,65631,Efectivo
341,12,417,9,2023-08-05,72792,Financiamiento
342,3,426,8,2023-08-26,22812,Tarjeta de Crédito
343,17,111,3,2023-09-15,65384,Tarjeta de Crédito
344,4,433,3,2023-02-13,36348,Transferencia
345,27,373,1,2023-05-10,44304,Transferencia
346,50,415,4,2023-02-13,64781,Financiamiento
347,37,453,5,2023-06-12,75655,Efectivo
348,2,404,9,2023-06-29,61571,Financiamiento
349,19,441,8,2023-12-21,67099,Transferencia
350,31,133,2,2023-12-04,16458,Tarjeta de Crédito
351,25,466,7,2023-02-19,13679,Efectivo
352,29,175,3,2023-09-13,18024,Tarjeta de Crédito
353,10,89,10,2023-06-01,50272,Transferencia
354,40,377,4,2023-12-26,23405,Financiamiento
355,20,259,3,2023-05-24,14998,Tarjeta de Crédito
356,39,168,6,2023-11-16,62895,Efectivo
357,27,74,6,2023-06-28,53039,Financiamiento
358,11,108,7,2023-01-09,68235,Financiamiento
359,45,112,8,2023-07-04,47862,Transferencia
360,9,373,3,2023-07-09,14309,Transferencia
361,43,467,9,2024-01-09,51599,Financiamiento
362,25,117,1,2023-02-28,31609,Tarjeta de Crédito
363,26,18,10,2023-12-19,45310,Tarjeta de Crédito
364,1,491,5,2023-06-18,46319,Transferencia
365,9,402,5,2024-01-23,69984,Transferencia
366,26,9,2,2023-10-16,48395,Financiamiento
367,17,63,5,2023-01-20,70254,Financiamiento
368,33,56,10,2023-05-26,11101,Transferencia
369,4,491,5,2023-07-12,53851,Financiamiento
370,50,260,2,2023-09-25,48522,Financiamiento
371,41,451,9,2023-03-25,19662,Tarjeta de Crédito
372,42,114,5,2023-08-30,33112,Financiamiento
373,5,462,5,2023-09-12,37787,Efectivo
374,41,491,7,2023-03-19,18183,Tarjeta de Crédito
375,49,112,9,2023-07-07,74802,Efectivo
376,1,261,8,2023-05-23,31869,Efectivo
377,44,327,5,2023-08-03,44884,Transferencia
378,45,421,8,2023-01-19,46625,Tarjeta de Crédito
379,28,158,9,2023-09-20,75164,Financiamiento
380,17,184,3,2023-06-15,38170,Tarjeta de Crédito
381,47,5,1,2023-04-06,29187,Transferencia
382,22,456,1,2023-01-22,19488,Financiamiento
383,4,24,6,2023-06-13,44072,Transferencia
384,35,141,9,2023-02-26,26406,Financiamiento
385,1,353,10,2023-03-18,69486,Transferencia
386,48,85,9,2023-12-09,53588,Efectivo
387,46,61,5,2023-07-25,47030,Efectivo
388,50,84,8,2023-08-21,40546,Financiamiento
389,34,293,7,2023-09-07,18462,Transferencia
390,31,103,10,2023-03-16,34815,Efectivo
391,39,145,1,2023-05-25,20466,Transferencia
392,18,87,4,2023-10-24,71153,Tarjeta de Crédito
393,5,326,1,2024-02-01,59491,Tarjeta de Crédito
394,41,226,7,2023-12-26,40553,Efectivo
395,29,350,9,2023-03-20,34247,Efectivo
396,15,500,1,2023-11-01,29348,Financiamiento
397,24,167,5,2023-05-27,43862,Transferencia
398,40,122,4,2024-01-20,39713,Transferencia
399,42,460,8,2023-03-05,68087,Transferencia
400,13,157,2,2023-12-16,26253,Efectivo
401,43,87,5,2023-09-30,21692,Transferencia
402,13,410,9,2023-02-15,67347,Financiamiento
403,2,229,9,2023-08-08,57726,Efectivo
404,17,275,6,2023-08-30,52407,Tarjeta de Crédito
405,46,436,4,2023-06-27,62114,Financiamiento
406,46,332,2,2023-04-26,67504,Tarjeta de Crédito
407,25,216,3,2023-03-28,11880,Transferencia
408,36,391,10,2023-01-17,41407,Tarjeta de Crédito
409,1,290,3,2023-03-06,42399,Financiamiento
410,40,393,8,2023-03-09,42180,Transferencia
411,28,156,3,2023-04-28,71096,Tarjeta de Crédito
412,1,158,4,2023-01-18,10718,Financiamiento
413,5,159,6,2023-10-19,25679,Transferencia
414,27,321,10,2023-04-15,29947,Transferencia
415,12,135,2,2023-07-19,29910,Transferencia
416,46,482,3,2023-02-23,77854,Efectivo
417,45,336,7,2023-02-04,68243,Financiamiento
418,31,24,8,2023-03-13,26730,Transferencia
419,18,67,8,2023-08-19,20113,Efectivo
420,38,264,7,2023-02-17,16061,Transferencia
421,5,288,9,2023-07-18,78950,Transferencia
422,42,22,5,2023-05-02,25994,Financiamiento
423,27,467,8,2023-05-15,33445,Financiamiento
424,17,438,7,2023-06-14,56625,Efectivo
425,38,128,5,2023-01-30,16252,Transferencia
426,5,140,7,2023-03-22,15970,Transferencia
427,17,174,6,2023-05-22,29560,Transferencia
428,11,363,6,2023-04-28,13581,Tarjeta de Crédito
429,34,267,4,2023-11-11,53541,Tarjeta de Crédito
430,22,47,4,2023-08-23,42719,Efectivo
431,12,420,8,2023-01-16,21880,Efectivo
432,11,350,10,2024-01-18,39357,Transferencia
433,17,376,5,2023-10-08,15269,Transferencia
434,12,247,2,2023-03-01,72556,Transferencia
435,14,13,7,2023-12-17,20502,Financiamiento
436,48,196,8,2023-07-03,45900,Transferencia
437,42,194,5,2023-08-16,22352,Financiamiento
438,34,60,7,2023-04-17,15180,Tarjeta de Crédito
439,8,459,4,2023-08-29,76700,Transferencia
440,19,109,5,2023-11-18,72974,Financiamiento
441,7,330,10,2023-11-04,51965,Tarjeta de Crédito
442,33,206,2,2024-01-13,53647,Tarjeta de Crédito
443,5,51,5,2023-05-31,48303,Financiamiento
444,13,69,1,2023-10-19,57449,Tarjeta de Crédito
445,26,247,9,2023-10-24,69716,Efectivo
446,18,279,2,2023-07-03,22486,Transferencia
447,14,136,3,2023-04-07,20339,Efectivo
448,16,192,1,2023-09-29,74724,Efectivo
449,45,29,10,2023-07-25,75305,Financiamiento
450,30,44,5,2023-03-26,53597,Efectivo
451,19,314,2,2023-01-11,61037,Transferencia
452,49,188,10,2023-09-05,38271,Transferencia
453,50,199,10,2023-01-28,22447,Transferencia
454,3,340,7,2023-03-27,52604,Efectivo
455,4,56,4,2023-04-15,37717,Tarjeta de Crédito
456,23,423,6,2023-05-10,66459,Transferencia
457,33,279,9,2023-04-14,10986,Efectivo
458,31,246,9,2023-09-26,28116,Tarjeta de Crédito
459,4,261,1,2023-11-13,63221,Efectivo
460,1,331,7,2023-02-23,56100,Transferencia
461,22,435,1,2023-09-11,49454,Transferencia
462,11,70,5,2023-05-12,29585,Financiamiento
463,50,128,10,2023-08-25,40800,Tarjeta de Crédito
464,38,89,5,2023-10-30,51774,Tarjeta de Crédito
465,8,358,1,2023-09-29,73256,Tarjeta de Crédito
466,27,11,1,2023-10-17,26332,Transferencia
467,13,69,7,2023-08-19,68213,Transferencia
468,14,242,2,2023-01-15,67936,Tarjeta de Crédito
469,50,385,9,2023-12-26,35632,Efectivo
470,49,94,3,2023-02-13,36886,Tarjeta de Crédito
471,27,498,2,2023-12-18,34792,Transferencia
472,50,130,9,2024-01-02,60324,Efectivo
473,22,76,7,2023-04-23,72248,Transferencia
474,7,280,5,2023-05-15,48313,Tarjeta de Crédito
475,34,412,5,2023-07-28,13279,Efectivo
476,30,419,8,2024-01-04,17824,Transferencia
477,34,274,5,2023-12-12,16293,Efectivo
478,27,402,5,2023-10-20,40343,Transferencia
479,18,9,7,2023-10-08,65978,Transferencia
480,3,233,6,2023-04-25,58456,Transferencia
481,37,114,9,2023-07-25,16198,Efectivo
482,24,115,6,2023-06-30,35626,Financiamiento
483,45,104,7,2023-04-07,60033,Financiamiento
484,6,92,8,2023-10-15,23340,Financiamiento
485,14,497,9,2023-11-01,31583,Financiamiento
486,10,388,2,2023-04-10,66059,Tarjeta de Crédito
487,32,153,5,2023-01-16,12845,Tarjeta de Crédito
488,12,246,8,2023-10-04,75563,Tarjeta de Crédito
489,41,122,7,2023-07-06,22071,Financiamiento
490,40,170,4,2023-05-24,44300,Financiamiento
491,19,232,8,2023-06-02,10314,Tarjeta de Crédito
492,32,78,4,2023-02-02,30548,Financiamiento
493,4,436,1,2023-04-15,14403,Efectivo
494,22,207,3,2023-03-21,77509,Financiamiento
495,1,34,10,2023-11-27,27913,Tarjeta de Crédito
496,34,383,6,2023-11-10,10868,Transferencia
497,15,313,9,2023-06-22,42630,Financiamiento
498,33,330,10,2023-01-06,44048,Tarjeta de Crédito
499,49,470,5,2023-10-17,18383,Efectivo
500,9,205,9,2023-06-11,45134,Efectivo
501,50,107,5,2023-01-27,31139,Tarjeta de Crédito
502,3,194,9,2023-01-26,71498,Efectivo
503,24,325,9,2023-09-25,25893,Transferencia
504,22,264,8,2023-01-11,41984,Efectivo
505,27,346,10,2023-12-07,38285,Efectivo
506,27,371,2,2023-11-18,34366,Tarjeta de Crédito
507,28,275,2,2024-01-10,35271,Tarjeta de Crédito
508,46,179,8,2023-08-18,42809,Efectivo
509,39,310,6,2023-09-25,14290,Efectivo
510,49,52,10,2023-06-16,48944,Financiamiento
511,19,88,2,2023-11-26,16543,Efectivo
512,21,96,4,2023-12-07,66521,Efectivo
513,32,493,1,2023-10-27,35893,Efectivo
514,48,55,5,2024-01-20,49621,Tarjeta de Crédito
515,27,199,1,2023-10-21,39455,Transferencia
516,5,458,1,2023-01-23,51050,Tarjeta de Crédito
517,24,131,9,2023-03-03,39630,Financiamiento
518,25,192,10,2023-09-30,62317,Financiamiento
519,24,425,10,2023-09-26,63964,Tarjeta de Crédito
520,31,78,4,2023-11-05,36027,Efectivo
521,27,129,1,2023-10-27,40217,Transferencia
522,3,50,10,2023-02-21,18173,Tarjeta de Crédito
523,47,331,7,2023-08-15,69830,Tarjeta de Crédito
524,7,64,3,2023-12-07,19998,Transferencia
525,11,311,9,2023-05-04,45221,Transferencia
526,21,198,4,2024-01-20,10447,Tarjeta de Crédito
527,12,113,5,2023-02-08,45208,Tarjeta de Crédito
528,39,293,1,2023-12-03,72443,Transferencia
529,22,91,1,2023-05-19,65112,Financiamiento
530,19,26,7,2023-02-10,77930,Financiamiento
531,13,124,6,2023-10-17,49072,Transferencia
532,40,263,10,2023-07-16,25962,Financiamiento
533,10,348,9,2023-02-17,27974,Tarjeta de Crédito
534,38,411,5,2023-06-27,44056,Efectivo
535,37,262,2,2023-05-29,19954,Financiamiento
536,7,109,3,2023-05-09,79712,Tarjeta de Crédito
537,27,198,10,2023-02-20,23575,Tarjeta de Crédito
538,26,145,3,2023-03-23,52417,Financiamiento
539,26,240,2,2023-12-15,25157,Transferencia
540,3,102,9,2023-06-13,27055,Transferencia
541,20,25,7,2023-10-08,61881,Financiamiento
542,48,414,2,2023-05-17,35766,Transferencia
543,17,70,10,2023-10-08,67435,Financiamiento
544,8,474,7,2023-04-02,73024,Transferencia
545,48,241,6,2024-01-03,26392,Financiamiento
546,40,422,3,2023-03-14,20716,Efectivo
547,18,489,4,2023-07-21,46538,Financiamiento
548,31,457,6,2023-11-10,42065,Financiamiento
549,43,65,10,2023-10-21,23117,Transferencia
550,31,249,4,2023-10-25,10317,Tarjeta de Crédito
551,10,10,10,2023-09-29,24676,Financiamiento
552,16,138,6,2023-07-26,29460,Transferencia
553,12,216,1,2023-05-16,63383,Tarjeta de Crédito
554,36,395,8,2023-07-23,10742,Transferencia
555,27,227,10,2023-09-28,26873,Tarjeta de Crédito
556,25,485,4,2023-12-10,18503,Efectivo
557,33,174,8,2024-01-08,56115,Tarjeta de Crédito
558,22,403,8,2024-02-01,71433,Financiamiento
559,21,363,3,2023-11-04,45268,Tarjeta de Crédito
560,18,68,7,2023-06-30,74992,Transferencia
561,38,40,3,2023-03-28,31462,Financiamiento
562,2,388,5,2023-12-21,63203,Transferencia
563,44,338,7,2023-08-17,60370,Financiamiento
564,33,442,6,2023-01-11,33236,Efectivo
565,13,27,5,2024-01-15,34381,Financiamiento
566,3,214,1,2023-07-26,67848,Tarjeta de Crédito
567,14,490,6,2023-11-26,24397,Tarjeta de Crédito
568,26,180,8,2023-03-05,75778,Financiamiento
569,15,460,3,2023-05-08,35148,Tarjeta de Crédito
570,50,481,2,2023-03-25,73864,Financiamiento
571,16,286,6,2023-04-18,63000,Efectivo
572,45,226,1,2023-05-21,30078,Financiamiento
573,3,90,6,2023-05-30,67884,Financiamiento
574,14,294,1,2023-08-10,30706,Efectivo
575,47,248,6,2023-12-31,59442,Transferencia
576,17,374,4,2023-11-03,71628,Transferencia
577,32,191,1,2023-07-12,47958,Efectivo
578,28,225,1,2023-01-03,58090,Transferencia
579,24,104,6,2024-01-01,38630,Transferencia
580,2,460,2,2023-01-22,40632,Financiamiento
581,47,99,4,2023-02-10,28893,Financiamiento
582,14,168,2,2023-05-31,10727,Tarjeta de Crédito
583,33,119,5,2024-01-03,29870,Transferencia
584,4,292,10,2023-05-21,68255,Transferencia
585,49,16,9,2024-01-14,32685,Efectivo
586,3,69,10,2023-02-01,29328,Transferencia
587,12,338,5,2023-05-01,24734,Transferencia
588,4,201,4,2024-01-13,45146,Tarjeta de Crédito
589,6,121,6,2023-05-31,79822,Transferencia
590,33,201,7,2023-09-06,74656,Efectivo
591,5,223,1,2023-05-17,70781,Efectivo
592,25,31,1,2023-07-10,51765,Transferencia
593,30,401,9,2023-06-08,67701,Transferencia
594,2,224,2,2023-06-30,47937,Transferencia
595,26,335,2,2023-03-29,27940,Transferencia
596,30,483,10,2023-01-13,11404,Tarjeta de Crédito
597,40,139,5,2023-07-14,73731,Tarjeta de Crédito
598,26,50,5,2024-01-09,21784,Efectivo
599,13,33,10,2023-03-04,17807,Transferencia
600,5,217,3,2023-04-22,50442,Transferencia
601,3,256,7,2023-03-01,27329,Transferencia
602,10,44,3,2023-03-01,42603,Efectivo
603,19,270,1,2023-03-24,65552,Efectivo
604,31,287,8,2023-04-13,43250,Efectivo
605,25,153,9,2023-09-17,30222,Transferencia
606,11,40,5,2023-12-01,15441,Tarjeta de Crédito
607,11,103,8,2023-05-17,19958,Financiamiento
608,31,429,4,2023-09-19,72722,Financiamiento
609,49,460,10,2023-05-12,26772,Transferencia
610,47,238,10,2023-08-20,60963,Tarjeta de Crédito
611,42,284,4,2023-04-25,52434,Efectivo
612,44,300,6,2023-02-17,48288,Efectivo
613,44,299,10,2023-06-25,56388,Efectivo
614,49,239,5,2024-01-13,72748,Tarjeta de Crédito
615,43,89,10,2023-04-05,11993,Transferencia
616,46,174,7,2023-07-17,67800,Transferencia
617,43,279,2,2023-09-30,33694,Transferencia
618,23,406,9,2023-03-19,49065,Tarjeta de Crédito
619,38,455,6,2023-08-17,55655,Tarjeta de Crédito
620,6,432,6,2024-01-23,78081,Tarjeta de Crédito
621,4,107,2,2023-10-26,56374,Efectivo
622,36,19,3,2023-11-01,66510,Tarjeta de Crédito
623,17,2,8,2023-03-22,43180,Tarjeta de Crédito
624,30,498,10,2023-03-04,51654,Financiamiento
625,8,88,6,2023-11-20,53983,Efectivo
626,40,105,6,2023-11-11,13040,Tarjeta de Crédito
627,34,110,5,2023-01-20,13095,Tarjeta de Crédito
628,41,392,8,2023-03-27,56905,Efectivo
629,6,399,6,2024-01-15,78701,Transferencia
630,50,290,9,2023-03-21,72501,Financiamiento
631,23,78,8,2023-06-21,42981,Tarjeta de Crédito
632,28,118,1,2023-04-08,42148,Financiamiento
633,11,444,7,2023-05-07,69954,Financiamiento
634,34,462,3,2023-01-11,41934,Financiamiento
635,17,316,3,2023-06-30,40989,Efectivo
636,50,184,1,2023-09-18,58472,Efectivo
637,47,304,8,2023-06-20,33731,Transferencia
638,7,412,3,2023-07-30,21593,Tarjeta de Crédito
639,7,119,5,2023-05-05,60193,Transferencia
640,27,375,7,2023-09-02,68006,Transferencia
641,37,435,3,2023-11-14,14559,Transferencia
642,13,120,4,2023-04-01,45257,Transferencia
643,36,251,6,2024-01-21,33196,Transferencia
644,34,428,2,2023-04-09,38176,Financiamiento
645,24,85,5,2023-02-18,79243,Tarjeta de Crédito
646,6,398,3,2023-03-11,75016,Financiamiento
647,50,100,5,2023-06-18,20006,Efectivo
648,48,163,6,2023-05-08,38264,Efectivo
649,3,455,6,2023-10-14,72031,Financiamiento
650,22,449,5,2023-11-07,37581,Tarjeta de Crédito
651,4,481,2,2023-04-22,13819,Efectivo
652,38,360,4,2023-09-24,73825,Financiamiento
653,12,136,9,2023-01-11,15336,Efectivo
654,43,482,9,2023-03-24,75624,Transferencia
655,13,375,1,2024-01-25,33409,Tarjeta de Crédito
656,44,115,9,2023-03-28,60588,Financiamiento
657,18,436,2,2023-01-01,78842,Transferencia
658,14,5,7,2023-08-16,19047,Efectivo
659,30,398,6,2023-09-13,32029,Tarjeta de Crédito
660,31,13,4,2023-03-13,45363,Transferencia
661,8,237,3,2023-02-21,73344,Efectivo
662,50,333,7,2023-05-15,55283,Financiamiento
663,49,12,10,2023-04-27,10812,Transferencia
664,4,448,2,2024-01-08,73913,Transferencia
665,27,231,3,2024-01-11,46147,Tarjeta de Crédito
666,7,349,4,2023-10-01,49877,Transferencia
667,29,155,9,2023-04-05,69486,Transferencia
668,22,448,10,2023-11-01,19796,Efectivo
669,10,496,9,2023-07-23,10948,Efectivo
670,37,317,2,2023-11-30,18801,Efectivo
671,38,190,1,2023-08-23,56470,Transferencia
672,12,42,2,2024-01-23,25296,Transferencia
673,47,354,5,2023-04-04,55960,Tarjeta de Crédito
674,32,92,9,2023-08-06,71750,Financiamiento
675,15,495,5,2023-11-21,70065,Transferencia
676,25,369,3,2024-01-25,47302,Financiamiento
677,42,346,10,2023-02-05,38264,Efectivo
678,38,341,5,2024-01-11,18825,Financiamiento
679,1,3,4,2023-07-07,11300,Financiamiento
680,41,74,6,2023-01-13,59781,Tarjeta de Crédito
681,47,22,5,2023-12-25,57916,Tarjeta de Crédito
682,29,157,5,2023-07-07,35500,Tarjeta de Crédito
683,13,336,10,2023-01-11,31350,Tarjeta de Crédito
684,23,203,3,2023-01-06,40014,Financiamiento
685,18,28,7,2023-11-05,24263,Tarjeta de Crédito
686,3,500,10,2023-11-14,14033,Tarjeta de Crédito
687,14,389,8,2023-01-17,41285,Transferencia
688,18,185,10,2023-10-15,13748,Transferencia
689,17,359,4,2023-06-20,76269,Tarjeta de Crédito
690,2,390,6,2023-05-25,19013,Financiamiento
691,9,4,7,2023-02-13,62712,Transferencia
692,3,291,2,2023-11-10,53187,Efectivo
693,45,198,1,2023-11-24,42107,Financiamiento
694,32,381,4,2023-04-15,30820,Efectivo
695,35,154,10,2023-11-28,74545,Financiamiento
696,40,7,10,2023-11-03,10302,Efectivo
697,18,326,8,2024-01-28,15980,Financiamiento
698,31,359,10,2023-06-10,13823,Financiamiento
699,5,158,10,2023-12-06,74296,Transferencia
700,20,246,2,2023-10-04,16144,Transferencia
701,5,444,8,2023-10-09,57876,Financiamiento
702,22,332,8,2023-05-29,71952,Efectivo
703,19,207,4,2023-08-28,25275,Transferencia
704,14,358,8,2023-03-02,38239,Efectivo
705,10,166,2,2023-09-24,65091,Tarjeta de Crédito
706,37,374,9,2023-12-09,43130,Transferencia
707,4,198,4,2023-01-21,72514,Tarjeta de Crédito
708,44,230,6,2023-03-17,23337,Transferencia
709,10,238,8,2023-02-26,12963,Financiamiento
710,36,229,6,2023-03-13,53020,Tarjeta de Crédito
711,40,233,7,2024-01-29,53283,Efectivo
712,45,82,4,2023-08-17,27497,Transferencia
713,31,207,9,2023-08-07,37437,Efectivo
714,17,236,3,2023-10-01,39837,Tarjeta de Crédito
715,29,411,9,2023-02-27,66630,Efectivo
716,24,378,2,2023-01-14,23665,Financiamiento
717,20,243,7,2023-09-23,32452,Financiamiento
718,25,3,6,2023-05-08,13476,Efectivo
719,32,432,1,2023-12-30,77061,Efectivo
720,25,491,9,2023-06-23,65015,Efectivo
721,46,72,1,2023-08-29,26301,Transferencia
722,21,419,3,2023-05-10,73653,Transferencia
723,40,101,4,2023-12-08,22051,Financiamiento
724,22,126,7,2023-07-15,68558,Transferencia
725,25,337,9,2023-05-08,47271,Transferencia
726,6,1,1,2023-08-19,32553,Transferencia
727,23,353,3,2023-05-26,56386,Tarjeta de Crédito
728,11,120,6,2023-11-18,18868,Transferencia
729,35,132,4,2023-10-07,52399,Financiamiento
730,6,82,1,2023-11-12,46679,Efectivo
731,45,186,5,2023-10-30,57584,Financiamiento
732,35,379,6,2023-02-08,26159,Efectivo
733,37,211,4,2023-03-10,12490,Efectivo
734,1,383,8,2023-12-23,76374,Tarjeta de Crédito
735,6,128,6,2024-01-09,79087,Efectivo
736,34,14,10,2023-10-01,27866,Financiamiento
737,3,403,3,2023-08-25,70697,Financiamiento
738,6,160,6,2023-03-01,52382,Tarjeta de Crédito
739,29,173,1,2023-05-24,25250,Transferencia
740,45,244,1,2023-11-08,31361,Financiamiento
741,18,430,7,2023-10-01,55008,Financiamiento
742,19,449,3,2023-11-20,45482,Transferencia
